Drill Listing
=============
Drill: .01575  Tool: 1  Feed: 95  Speed: 300
X 272440  Y 302362
X 277165  Y 340944
X 262559  Y 355748
X 274133  Y 367322
X 267913  Y 373700
X 275590  Y 381377
X 256338  Y 385314
X 274448  Y 403385
X 348818  Y 453937
X 323503  Y 435433
X 288346  Y 417322
X 318976  Y 416732
X 345078  Y 414566
X 299960  Y 405708
X 333503  Y 402992
X 286023  Y 391811
X 348779  Y 387637
X 348818  Y 359645
X 288818  Y 352637
X 334842  Y 345787
X 346496  Y 334094
X 308228  Y 333188
X 316771  Y 327637
X 292519  Y 326771
X 328425  Y 316023
X 345397  Y 285940
X 360433  Y 348031
X 375078  Y 362677
X 363385  Y 374330
X 360354  Y 399212
X 780708  Y 377165

Drill: .02362  Tool: 2  Feed: 197  Speed: 550
X 197637  Y 385433
X 216141  Y 412480
X 216141  Y 426299
X 164566  Y 427165
X 203937  Y 495275
X 250039  Y 437677
X 269251  Y 435826
X 269251  Y 418346
X 242086  Y 413346
X 346456  Y 185826
X 362204  Y 185826
X 377952  Y 185826
X 409842  Y 210236
X 365748  Y 301968
X 378346  Y 309448
X 431496  Y 323622
X 376771  Y 329921
X 419685  Y 335433
X 399606  Y 374409
X 381496  Y 376377
X 518503  Y 381496
X 455905  Y 348031
X 755055  Y 159580
X 746393  Y 177296
X 736551  Y 183989
X 724803  Y 191732
X 770472  Y 191732
X 756299  Y 240551
X 779133  Y 255905
X 771653  Y 262598
X 753543  Y 324409
X 709842  Y 433464
X 813385  Y 369291
X 844094  Y 352755
X 815354  Y 288188
X 820472  Y 281496
X 828346  Y 269685
X 833008  Y 256036
X 838519  Y 250918
X 834189  Y 241076
X 792850  Y 236351
X 847181  Y 235958
X 797968  Y 231233
X 833464  Y 220472
X 916141  Y 196456
X 951511  Y 221784
X 920015  Y 224934
X 912929  Y 231627
X 943244  Y 367847
X 922771  Y 375721
X 988519  Y 363910
X 973622  Y 286220

Drill: .03543  Tool: 3  Feed: 197  Speed: 550
X 137795  Y 436023
X 137795  Y 445866
X 137795  Y 455708
X 137795  Y 465551
X 137795  Y 479330
X 137795  Y 489173
X 137795  Y 499015
X 137795  Y 508858
X 252755  Y 639763
X 252755  Y 620078
X 232283  Y 508858
X 232283  Y 499015
X 232283  Y 489173
X 232283  Y 479330
X 232283  Y 465551
X 232283  Y 455708
X 232283  Y 445866
X 232283  Y 436023
X 328307  Y 465039
X 263779  Y 565551
X 299212  Y 565551
X 299212  Y 575393
X 263779  Y 575393
X 299212  Y 585236
X 263779  Y 585236
X 299212  Y 595078
X 263779  Y 595078
X 338149  Y 465039
X 347992  Y 465039
X 357834  Y 465039
X 367677  Y 465039
X 374320  Y 292900
X 367360  Y 285940
X 360400  Y 278980
X 353440  Y 272021
X 372047  Y 131889
X 352362  Y 131889
X 362204  Y 131889
X 381889  Y 131889
X 449503  Y 394318
X 449503  Y 404161
X 449503  Y 414003
X 420078  Y 437401
X 430078  Y 437401
X 410078  Y 437401
X 400078  Y 437401
X 410078  Y 527401
X 430078  Y 527401
X 400078  Y 527401
X 420078  Y 527401
X 637929  Y 139107
X 647771  Y 139107
X 667456  Y 139107
X 657614  Y 139107
X 920409  Y 317257
X 920409  Y 327099
X 920409  Y 336942
X 920409  Y 346784
X 952889  Y 135170
X 943047  Y 135170
X 933204  Y 135170
X 962732  Y 135170

Drill: .04724  Tool: 4  Feed: 139  Speed: 550
X 145275  Y 120866
X 208267  Y 120866
X 145275  Y 207480
X 208267  Y 207480
X 173622  Y 437401
X 354330  Y 559842
X 271259  Y 207480
X 271259  Y 120866
X 807086  Y 344881
X 520472  Y 466535
X 1009055  Y 552362
X 965748  Y 392913
X 1031889  Y 218307

Drill: .08661  Tool: 5  Feed: 74  Speed: 550
X 656630  Y 277296
X 656630  Y 331627
X 672378  Y 331627
X 703874  Y 331627
X 688126  Y 331627
X 672378  Y 277296
X 688126  Y 277296
X 703874  Y 277296
X 794425  Y 415091
X 825921  Y 415091
X 810173  Y 415091
X 841669  Y 415091
X 810173  Y 469422
X 825921  Y 469422
X 841669  Y 469422
X 794425  Y 469422

Drill: .11024  Tool: 6  Feed: 69  Speed: 658
X 542456  Y 206036
X 995212  Y 442257
X 818047  Y 206036

Drill: .11024  Tool: 7  Feed: 69  Speed: 658
X 106299  Y 139763
X 169291  Y 139763
X 106299  Y 159448
X 169291  Y 159448
X 106299  Y 226377
X 169291  Y 226377
X 106299  Y 246062
X 169291  Y 246062
X 232283  Y 246062
X 291338  Y 246062
X 232283  Y 226377
X 291338  Y 226377
X 232283  Y 159448
X 291338  Y 159448
X 291338  Y 139763
X 232283  Y 139763

Drill: .11811  Tool: 8  Feed: 69  Speed: 658
X 81826  Y 119422
X 81826  Y 646981
X 1042456  Y 646981
X 1042456  Y 119422

Drill: .17717  Tool: 9  Feed: 35  Speed: 1033
X 542456  Y 127296
X 661811  Y 468897
X 695669  Y 468897
X 818047  Y 127296
X 916472  Y 442257

End of Listing
